SubSystemId,UserCount
72,58
73,58
83,58
170,64
171,63
172,63
173,62
190,37
208,61
209,31
210,32
211,32
212,31
213,29
223,32
224,29
225,32
232,14
257,52
258,106
259,106
268,24
271,40
275,97
288,59
305,46
306,27
307,27
336,27
343,4
344,4
404,68
412,75
413,28
417,112
419,4
432,22
435,22
441,35
445,11
448,10
452,10
454,10
458,1
459,14
460,9
461,9
462,8
464,20
465,10
466,11
467,10
468,12
469,6
472,13
493,18
494,10
495,10
496,11
497,10
498,9
503,1
504,27
505,14
506,14
507,13
508,17
509,10
510,12
511,8
512,8
513,12
514,12
515,21
517,1
518,9
519,9
520,9
521,8
522,11
523,9
524,8
525,9
526,9
528,22
538,125
540,3
541,2
542,1
543,1
544,4
547,3
559,9
563,7
566,2
567,7
568,8
576,1
578,4
581,9
620,2
629,4
641,1
654,1
657,1
667,1
674,1
675,2
676,4
677,1
679,2
680,2
681,2
688,1
691,1
692,2
693,1
694,1
695,1
696,2
697,1
698,2
699,1
701,2
702,2
709,1
716,1
722,1
723,1
724,1
725,1
727,1
730,1
731,1
732,1
733,1
736,1
737,1
739,1
743,2
744,2
754,1
758,2
772,1
773,1
409,1
410,1
411,1
499,1
502,1
571,1
311,5
316,5
317,5
318,5
319,5
320,5
322,5
324,5
325,5
326,5
546,55
592,4
607,3
610,3
611,3
624,3
625,3
626,3
627,3
574,5
575,5
588,5
597,5
599,11
485,2
500,2
501,1
577,3
612,6
614,1
623,2
639,2
659,2
663,2
668,2
748,8
755,8
757,2
764,7
777,3
548,2
740,3
770,4
771,4
779,3
470,17
423,16
424,18
425,18
426,23
474,1
476,14
477,3
478,1
481,2
530,2
573,2
582,4
583,3
584,5
585,3
586,3
603,1
660,1
661,1
711,1
430,1
189,1
570,2
776,1
615,1
333,1
418,26
420,26
421,26
446,26
463,4
487,26
488,27
489,27
490,27
534,2
535,23
536,22
556,2
580,2
616,33
618,3
658,2
718,2
719,2
720,2
721,2
729,13
735,14
738,2
778,8
457,1
480,1
598,1
428,20
537,8
600,13
753,13
756,13
601,10
602,10
763,1
516,1
531,1
532,1
533,1
562,2
628,3
653,3
717,2
726,3
762,1
593,2
486,1
558,1
742,1
760,2
765,6
766,4
767,3
768,7
769,9
